# 3D points
# X Y Z R G B
14.637610 0.878236 5.991839 39 31 18
-2.878905 -2.332917 4.712605 0 0 0
-2.697089 -2.678245 4.601007 0 1 4
-2.697089 -2.678245 4.601007 0 1 4
-11.828138 -3.020042 8.212319 168 157 152
16.686003 0.848044 6.036631 218 218 213
14.427755 -2.568166 4.844281 227 252 249
14.427755 -2.568166 4.844281 227 252 249
-4.743509 0.458596 5.118701 253 253 253
-0.250929 0.313888 4.957943 208 217 219
17.397573 0.762594 6.116061 188 192 194
4.896434 -3.207408 4.972527 207 194 173
8.923663 -2.907795 4.988202 165 181 190
8.922003 -2.412288 5.003606 211 226 229
-4.883502 -3.196072 5.316478 209 188 188
-2.510928 -3.100377 4.635865 237 227 226
-6.168976 -2.067687 5.026934 189 178 175
12.190039 -0.334779 5.089139 226 221 193
5.028123 -3.006266 4.973712 76 39 0
-5.535962 -3.114650 5.317243 205 172 174
5.186813 -2.629654 5.016793 97 59 11
-5.477716 -2.836810 5.267880 178 160 157
13.189646 0.552857 6.044358 230 233 211
13.130628 0.577930 6.052975 234 237 215
10.897644 -2.820412 4.963523 161 171 168
-2.091722 -2.546808 4.622434 0 0 0
-2.091722 -2.546808 4.622434 0 0 0
-94.100670 -18.275631 54.072617 192 182 172
10.962790 -2.002971 4.977463 152 160 165
-2.071889 -2.504658 4.615780 248 251 255
-2.101001 -3.061895 4.649861 19 10 6
-4.470104 -1.548684 4.252831 180 169 162
13.200768 1.186408 6.139493 144 176 145
12.345248 0.477396 6.070137 234 236 219
12.345248 0.477396 6.070137 234 236 219
6.879468 -2.674247 5.049815 220 240 243
6.879468 -2.674247 5.049815 220 240 243
-15.081446 -11.338106 16.217369 4 0 0
6.893478 -3.772308 5.026733 108 64 26
6.893478 -3.772308 5.026733 108 64 26
7.210706 -2.862585 5.053185 208 219 230
-1.829391 -2.993513 4.660001 0 0 0
-1.826343 -2.990726 4.658564 5 0 2
10.957412 -3.514370 4.887406 172 195 202
-5.226414 -3.144954 5.301435 194 177 178
-2.845133 -2.692405 4.590706 138 135 141
-10.975654 -7.897214 11.998578 40 33 33
-10.975654 -7.897214 11.998578 40 33 33
-2.845133 -2.692405 4.590706 138 135 141
-2.866662 -3.257674 4.621799 22 12 13
12.847631 1.215064 6.152331 143 168 139
-2.811956 -2.698201 4.590301 13 10 14
-5.103942 -3.165122 5.295044 202 176 180
-5.103942 -3.165122 5.295044 202 176 180
-3.126812 -2.378491 4.661955 198 197 188
6.919503 -3.673455 5.035240 230 208 190
6.919503 -3.673455 5.035240 230 208 190
-2.688217 -2.468091 4.585525 12 18 21
10.627409 -1.463773 5.035038 139 156 160
10.627409 -1.463773 5.035038 139 156 160
-2.701830 -3.007261 4.618399 56 46 45
0.769759 -0.485028 2.023833 216 231 236
12.904472 0.616340 6.065614 35 43 18
-4.966616 -3.198258 5.297503 200 182 181
-4.966616 -3.198258 5.297503 200 182 181
9.976982 0.448947 4.254756 58 64 37
-1.919334 -2.995318 4.650743 31 27 38
-3.205307 0.441120 4.905593 174 180 181
-5.792731 -2.042516 5.098197 219 203 197
-2.823080 -1.813954 5.225422 154 144 122
-2.823080 -1.813954 5.225422 154 144 122
-4.856020 -3.134860 5.294768 213 195 194
-4.864645 -3.113024 5.303047 35 17 16
-4.864645 -3.113024 5.303047 35 17 16
6.472409 -2.264197 4.877324 0 0 10
-2.093037 -2.858548 4.634151 69 63 58
13.206172 0.566077 6.039852 8 18 0
-1.457136 -2.036536 3.943073 34 35 40
-0.822558 -2.228876 3.518329 36 31 30
-2.397283 -3.083496 4.642574 240 234 239
5.115321 -2.985525 4.977496 124 73 20
5.115321 -2.985525 4.977496 124 73 20
-2.280202 -2.490463 4.605353 45 56 67
-2.280202 -2.490463 4.605353 45 56 67
-2.226841 -3.064402 4.642472 33 33 30
-2.226841 -3.064402 4.642472 33 33 30
5.194359 -2.741952 5.008142 92 53 14
5.194359 -2.741952 5.008142 92 53 14
-2.915908 -1.928737 5.089310 62 64 61
-7.539640 -5.595991 8.889783 0 0 0
13.411795 0.603320 6.043637 1 15 0
4.251075 -3.267352 4.971290 100 62 16
-2.387086 -3.118182 4.636427 203 195 201
14.694315 1.273333 5.514340 28 23 22
-3.274717 0.988642 5.854277 2 0 0
-0.791118 0.993595 6.143161 211 212 217
-5.258902 -3.246704 5.304369 182 160 163
-2.901736 -2.315296 4.706984 188 188 183
-0.736377 0.375329 4.932130 2 1 4
-4.893506 -3.177216 5.322176 23 2 2
17.566820 1.040828 6.135343 0 13 34
9.069790 -1.435789 5.085636 130 139 141
-1.826778 -2.857509 4.651587 36 31 30
4.880657 -3.024165 4.977920 244 208 177
-1.824300 -2.795703 4.647639 90 83 81
12.081009 0.521702 6.069256 230 234 217
-2.859937 -3.236771 4.624434 161 154 152
-5.205000 -3.227966 5.311731 172 143 148
22.134033 9.409257 8.516919 102 95 93
-4.902871 0.465282 5.069612 20 26 27
2.316086 -3.074014 5.076444 248 239 233
-4.973913 0.586192 5.107328 202 205 214
11.327414 0.528287 6.042129 237 245 220
-5.030791 0.523635 5.104780 223 224 227
14.346197 1.115816 6.118525 225 226 229
8.976534 -2.895636 5.015193 180 201 208
-6.581797 0.360860 7.287272 221 221 218
8.990069 -2.399484 5.029209 184 201 205
-0.366028 -2.639560 4.849766 47 38 32
-4.803288 -2.454290 5.253210 186 176 166
-0.614391 0.276464 4.920312 210 205 202
13.283839 0.774153 6.133872 172 184 164
16.789175 0.673939 9.011302 223 231 206
-1.154285 -4.031748 4.826029 103 76 60
6.633436 -3.730438 5.013217 194 184 160
11.079342 -2.557452 5.063049 138 144 145
6.633436 -3.730438 5.013217 194 184 160
12.980713 0.617948 6.078788 236 241 217
6.786318 -2.774130 5.045364 225 241 241
13.853455 -2.520146 7.059997 142 152 156
7.225553 -2.832850 5.038150 189 201 207
3.218442 -0.657421 5.733664 167 174 169
6.912130 -3.637599 5.017059 230 211 197
-4.919579 -3.183086 5.261835 0 0 0
12.945683 0.618805 6.075922 13 18 0
-4.437078 0.445079 5.127855 217 217 212
6.759982 -2.770542 5.040206 204 219 222
6.759982 -2.770542 5.040206 204 219 222
-1.098102 -0.848289 5.733306 165 156 148
-1.098102 -0.848289 5.733306 165 156 148
-1.211091 -3.998790 4.816319 242 224 219
8.426541 -2.865089 5.017708 151 167 176
13.332886 0.521853 6.064830 13 13 0
-0.865236 -2.745147 4.819211 208 189 175
13.380195 0.553427 6.064166 26 35 5
-4.721476 -2.682065 5.275985 205 189 185
-159.214066 -75.344460 84.577103 221 214 217
-0.131062 0.522211 5.268125 0 0 0
11.876307 0.522160 6.053246 227 231 214
-0.804335 -2.741120 4.823112 4 0 0
-5.851423 -3.218928 5.017841 0 0 0
-0.272873 -1.639312 5.548530 155 165 171
-1.018347 2.401053 9.738997 173 153 165
13.590019 0.764329 6.080702 11 21 0
-4.778805 -3.157846 5.272660 43 24 26
7.649220 7.063270 8.365231 81 71 61
2.445379 0.561352 1.144228 1 0 0
2.352450 -3.810554 8.706738 19 24 34
-4.684730 -2.138252 5.794199 25 14 0
-4.801528 -2.428472 5.245620 3 0 0
11.165440 -2.016634 5.086944 143 155 159
-21.348259 -7.460888 18.847771 151 138 133
14.070250 -3.088480 6.430184 154 163 165
-5.988927 -4.706679 5.114005 25 22 26
0.684790 4.490264 3.536203 30 31 34
14.783446 -2.503534 7.196837 151 159 164
11.317896 0.527190 6.032370 232 240 217
-0.562636 -0.702306 2.625892 126 131 137
11.740360 0.445305 6.040590 28 29 8
0.294033 -2.440595 4.766596 5 0 6
-0.122893 -2.543928 4.748290 16 5 0
-40.116779 -12.610705 26.506798 193 191 169
-2.213521 -3.027421 4.649996 219 211 217
-2.121501 -2.526343 4.641219 3 1 0
-2.110111 -2.488381 4.640751 226 232 233
-1.033120 -3.940877 4.720009 77 55 35
-2.357670 -2.153891 5.753599 188 179 171
6.736788 -2.686790 4.891946 211 229 228
6.736788 -2.686790 4.891946 211 229 228
-0.423746 0.241799 3.904330 252 248 240
-28.939051 -13.377026 25.115177 60 60 55
2.185010 0.638119 5.718466 149 145 139
12.680018 0.582735 6.072299 0 5 0
13.000984 1.002787 6.144862 115 127 120
